@RELATION NFLPlayoffs

@ATTRIBUTE t1-team-type {home, away}
@ATTRIBUTE t1-win-loss-ratio continuous
@ATTRIBUTE t1-points-per-game continuous
@ATTRIBUTE t1-points-allowed-per-game continuous
@ATTRIBUTE t1-turnover-ratio continuous
@ATTRIBUTE t1-offensive-rank continuous
@ATTRIBUTE t1-defensive-rank continuous
@ATTRIBUTE t1-kicking-and-punting-rank continuous
@ATTRIBUTE t1-kicking-and-punting-return-rank continuous
@ATTRIBUTE t1-relative-strength-of-schedule continuous
@ATTRIBUTE t2-team-type {home, away}
@ATTRIBUTE t2-win-loss-ratio continuous
@ATTRIBUTE t2-points-per-game continuous
@ATTRIBUTE t2-points-allowed-per-game continuous
@ATTRIBUTE t2-turnover-ratio continuous
@ATTRIBUTE t2-offensive-rank continuous
@ATTRIBUTE t2-defensive-rank continuous
@ATTRIBUTE t2-kicking-and-punting-rank continuous
@ATTRIBUTE t2-kicking-and-punting-return-rank continuous
@ATTRIBUTE t2-relative-strength-of-schedule continuous
@ATTRIBUTE game-result {t1,t2}

@Data
home,0.75,27.9,20.5,7.0,2.0,17.0,12.0,12.0,-1.6,away,0.6875,20.3,19.0,-5.0,15.0,10.0,8.0,17.0,-2.2,t2
home,0.75,23.4,17.9,4.0,11.0,7.0,7.0,26.0,-1.0,away,0.625,27.6,19.2,0.0,4.0,11.0,10.0,23.0,-0.3,t1
away,0.625,27.6,19.2,0.0,4.0,11.0,10.0,23.0,-0.3,home,0.75,23.4,17.9,4.0,11.0,7.0,7.0,26.0,-1.0,t2
away,0.75,27.9,21.0,10.0,3.0,20.0,16.0,28.0,0.0,home,0.8125,30.3,20.8,19.0,1.0,19.0,3.0,27.0,-1.2,t1
home,0.8125,30.3,20.8,19.0,1.0,19.0,3.0,27.0,-1.2,away,0.75,27.9,21.0,10.0,3.0,20.0,16.0,28.0,0.0,t2
home,0.875,21.8,14.9,17.0,12.0,1.0,2.0,10.0,0.1,away,0.75,27.9,21.0,10.0,3.0,20.0,16.0,28.0,0.0,t1
away,0.75,27.9,21.0,10.0,3.0,20.0,16.0,28.0,0.0,home,0.875,21.8,14.9,17.0,12.0,1.0,2.0,10.0,0.1,t2
away,0.6875,20.3,19.0,-5.0,15.0,10.0,8.0,17.0,-2.2,home,0.75,23.4,17.9,4.0,11.0,7.0,7.0,26.0,-1.0,t1
home,0.75,23.4,17.9,4.0,11.0,7.0,7.0,26.0,-1.0,away,0.6875,20.3,19.0,-5.0,15.0,10.0,8.0,17.0,-2.2,t2
away,0.875,21.8,14.9,17.0,12.0,1.0,2.0,10.0,0.1,away,0.6875,20.3,19.0,-5.0,15.0,10.0,8.0,17.0,-2.2,t1
away,0.6875,20.3,19.0,-5.0,15.0,10.0,8.0,17.0,-2.2,away,0.875,21.8,14.9,17.0,12.0,1.0,2.0,10.0,0.1,t2
away,0.625,20.8,16.3,17.0,17.0,4.0,17.0,32.0,2.1,home,0.75,27.9,19.6,15.0,3.0,11.0,9.0,29.0,0.8,t1
home,0.75,27.9,19.6,15.0,3.0,11.0,9.0,29.0,0.8,away,0.625,20.8,16.3,17.0,17.0,4.0,17.0,32.0,2.1,t2
